2021;1;1;0;0;-30
2021;1;1;0;1;-30
2021;10;23;17;56;4
2021;1;10;13;2;-7
2021;2;3;19;59;29
2021;2;28;3;4;-47
2021;2;28;3;5;-47
2021;3;3;21;20;-30
2021;3;18;23;30;27
2021;4;4;14;4;3
2021;4;14;10;28;24
2021;4;14;15;28;24
2021;4;14;20;28;24
2021;4;14;23;11;24
2021;4;14;23;20;24
2021;4;14;23;28;24
2021;4;14;23;28;24
2021;4;14;23;28;24
2021;4;14;23;30;24
2021;4;30;1;21;3
2021;4;30;9;30;-4
2021;6;19;3;48;23
2021;6;25;4;33;10
2021;7;8;4;16;6
2021;7;8;5;44;25
2021;7;18;2;26;-10
2021;7;19;8;54;24
2021;7;27;0;35;-4
2021;8;5;7;57;12
2021;8;16;12;19;18
2021;9;12;13;7;3
2021;10;13;18;58;28
2021;10;15;21;54;16
2021;1;1;0;10;10
2021;1;26;2;33;#»Ãﬂ?
#»Ãﬂ?;1;6;8;54;-2
2021;#»Ãﬂ?;6;6;19;-5
2021;7;#»Ãﬂ?;5;14;-8
2021;4;25;#»Ãﬂ?;11;7
2021;4;31;13;#»Ãﬂ?;-6
#»Ãﬂ?;#»Ãﬂ?;#»Ãﬂ?;#»Ã
2021;1;1;0;6;-80
